policy,budget,beta,total_cost_spent,total_cost_spent_ci95_low,total_cost_spent_ci95_high,probes,probes_ci95_low,probes_ci95_high,partial_recal,partial_recal_ci95_low,partial_recal_ci95_high,full_recal,full_recal_ci95_low,full_recal_ci95_high,cumulative_reward_mean,cumulative_reward_ci95_low,cumulative_reward_ci95_high,time_to_failure_median,time_to_failure_IQR,time_to_failure_iqr_q1,time_to_failure_iqr_q3,unnecessary_recalibration_rate,unnecessary_recalibration_rate_ci95_low,unnecessary_recalibration_rate_ci95_high,post_switch_time_to_failure_median,collapse_rate
threshold,20.0,0.4,20.0,20.0,20.0,0.0,0.0,0.0,0.5,0.029223227813043873,0.9707767721869561,1.8,1.6116892911252176,1.9883107088747825,40.525071525979925,37.339575871414404,43.710567180545446,13.0,8.5,8.75,17.25,0.5425,0.41484173121280554,0.6701582687871944,0.0,0.0
conservative_bandit,20.0,0.4,20.0,20.0,20.0,2.65,2.324214007636128,2.9757859923638716,3.675,3.512107003818064,3.8378929961819357,0.0,0.0,0.0,117.39811539927257,111.59905224437269,123.19717855417245,11.0,8.5,5.75,14.25,0.15208333333333332,0.10797344602765482,0.19619322063901182,0.0,0.0
periodic_full,20.0,0.5,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,41.63049316817474,37.8619772573677,45.39900907898178,13.0,8.5,8.75,17.25,0.3375,0.264,0.41100000000000003,0.0,0.0
periodic_partial,20.0,0.5,20.0,20.0,20.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,125.40822307964633,121.71884579789403,129.09760036139863,13.0,8.0,10.0,18.0,0.135,0.1056,0.16440000000000002,0.0,0.0
threshold,20.0,0.5,20.0,20.0,20.0,0.0,0.0,0.0,1.125,0.46970646624232937,1.7802935337576706,1.55,1.2878825864969319,1.8121174135030682,42.162476744877004,38.93534993982903,45.38960354992498,16.0,5.25,12.0,17.25,0.615,0.49935318577225896,0.730646814227741,0.0,0.0
conservative_bandit,20.0,0.5,20.0,20.0,20.0,2.6,2.3123506408035057,2.8876493591964945,3.7,3.5561753204017528,3.8438246795982476,0.0,0.0,0.0,115.5129407876241,109.72190918435875,121.30397239088946,13.0,8.0,10.0,18.0,0.18333333333333332,0.14231197137700458,0.22435469528966206,0.0,0.0
periodic_full,30.0,0.1,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,81.17955114340796,76.4674452974054,85.89165698941052,14.5,8.5,9.0,17.5,0.2333333333333333,0.18539177346725091,0.28127489319941573,0.0,0.0
periodic_partial,30.0,0.1,28.0,28.0,28.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,140.83591916063907,138.16540806875767,143.50643025252046,15.0,10.25,8.0,18.25,0.1,0.0794536172002504,0.12054638279974961,0.0,0.0
threshold,30.0,0.1,29.8,29.611689291125217,29.988310708874785,0.0,0.0,0.0,0.7,0.04091251893826131,1.3590874810617386,2.7,2.4175339366878266,2.982466063312174,41.9055433836494,38.799939609162266,45.01114715813654,16.0,9.25,12.0,21.25,0.7238095238095238,0.6333812298232036,0.814237817795844,0.0,0.0
conservative_bandit,30.0,0.1,28.7,28.400605054596216,28.999394945403782,4.75,4.354559965971045,5.145440034028955,4.8,4.656175320401752,4.943824679598247,0.0,0.0,0.0,122.69710295238806,116.33165130132947,129.06255460344664,15.0,10.25,8.0,18.25,0.14666666666666667,0.11598246320820385,0.17735087012512948,0.0,0.0
